"ID"	"GB_ACC"	"Gene.Title"	"Gene.Symbol"
"238424_PM_at"	"238424_PM_at"	"BE788266"	"adenosine deaminase-like"	"ADAL"
"202603_PM_at"	"202603_PM_at"	"N51370"	"ADAM metallopeptidase domain 10"	"ADAM10"
"207880_PM_at"	"207880_PM_at"	"NM_002390"	"ADAM metallopeptidase domain 11"	"ADAM11"
"202952_PM_s_at"	"202952_PM_s_at"	"NM_003474"	"ADAM metallopeptidase domain 12"	"ADAM12"
"1555896_PM_a_at"	"1555896_PM_a_at"	"BM973999"	"ADAM metallopeptidase domain 15"	"ADAM15"
"205745_PM_x_at"	"205745_PM_x_at"	"NM_003183"	"ADAM metallopeptidase domain 17"	"ADAM17"
"1568970_PM_at"	"1568970_PM_at"	"BC034624"	"ADAM metallopeptidase domain 18"	"ADAM18"
"209765_PM_at"	"209765_PM_at"	"Y13786"	"ADAM metallopeptidase domain 19 (meltrin beta)"	"ADAM19"
"207664_PM_at"	"207664_PM_at"	"NM_001464"	"ADAM metallopeptidase domain 2"	"ADAM2"
"207422_PM_at"	"207422_PM_at"	"NM_003814"	"ADAM metallopeptidase domain 20"	"ADAM20"
"1552579_PM_a_at"	"1552579_PM_a_at"	"NM_003813"	"ADAM metallopeptidase domain 21"	"ADAM21"
"207665_PM_at"	"207665_PM_at"	"NM_003813"	"ADAM metallopeptidase domain 21 /// ADAM metallopeptidase domain 21 pseudogene 1"	"ADAM21 /// ADAM21P1"
"1555024_PM_at"	"1555024_PM_at"	"BC036029"	"ADAM metallopeptidase domain 22"	"ADAM22"
"1559268_PM_at"	"1559268_PM_at"	"AW022638"	"ADAM metallopeptidase domain 23"	"ADAM23"
"205997_PM_at"	"205997_PM_at"	"NM_021778"	"ADAM metallopeptidase domain 28"	"ADAM28"
"221337_PM_s_at"	"221337_PM_s_at"	"NM_021780"	"ADAM metallopeptidase domain 29"	"ADAM29"
"221446_PM_at"	"221446_PM_at"	"NM_021794"	"ADAM metallopeptidase domain 30"	"ADAM30"
"1552266_PM_at"	"1552266_PM_at"	"NM_145004"	"ADAM metallopeptidase domain 32"	"ADAM32"
"232570_PM_s_at"	"232570_PM_s_at"	"AL356755"	"ADAM metallopeptidase domain 33"	"ADAM33"
"216276_PM_s_at"	"216276_PM_s_at"	"X89657"	"ADAM metallopeptidase domain 3A (cyritestin 1)"	"ADAM3A"
"216998_PM_s_at"	"216998_PM_s_at"	"AJ132821"	"ADAM metallopeptidase domain 5, pseudogene"	"ADAM5P"
"237909_PM_at"	"237909_PM_at"	"AI024595"	"ADAM metallopeptidase domain 6 (pseudogene)"	"ADAM6"
"211238_PM_at"	"211238_PM_at"	"AF215824"	"ADAM metallopeptidase domain 7"	"ADAM7"
"205179_PM_s_at"	"205179_PM_s_at"	"AI814527"	"ADAM metallopeptidase domain 8"	"ADAM8"
"1555326_PM_a_at"	"1555326_PM_a_at"	"AF495383"	"ADAM metallopeptidase domain 9 (meltrin gamma)"	"ADAM9"
"206134_PM_at"	"206134_PM_at"	"NM_014479"	"ADAM-like, decysin 1"	"ADAMDEC1"
"222162_PM_s_at"	"222162_PM_s_at"	"AK023795"	"ADAM metallopeptidase with thrombospondin type 1 motif, 1"	"ADAMTS1"
"230341_PM_x_at"	"230341_PM_x_at"	"AI074983"	"ADAM metallopeptidase with thrombospondin type 1 motif, 10"	"ADAMTS10"
"221421_PM_s_at"	"221421_PM_s_at"	"NM_030955"	"ADAM metallopeptidase with thrombospondin type 1 motif, 12"	"ADAMTS12"
"220208_PM_at"	"220208_PM_at"	"NM_017587"	"ADAM metallopeptidase with thrombospondin type 1 motif, 13"	"ADAMTS13"
"230167_PM_at"	"230167_PM_at"	"W60649"	"ADAM metallopeptidase with thrombospondin type 1 motif, 14"	"ADAMTS14"
"1553427_PM_at"	"1553427_PM_at"	"NM_139055"	"ADAM metallopeptidase with thrombospondin type 1 motif, 15"	"ADAMTS15"
"238125_PM_at"	"238125_PM_at"	"AI740544"	"ADAM metallopeptidase with thrombospondin type 1 motif, 16"	"ADAMTS16"
"1552725_PM_s_at"	"1552725_PM_s_at"	"NM_139057"	"ADAM metallopeptidase with thrombospondin type 1 motif, 17"	"ADAMTS17"
"1553234_PM_at"	"1553234_PM_at"	"NM_139054"	"ADAM metallopeptidase with thrombospondin type 1 motif, 18"	"ADAMTS18"
"1553179_PM_at"	"1553179_PM_at"	"NM_133638"	"ADAM metallopeptidase with thrombospondin type 1 motif, 19"	"ADAMTS19"
"214454_PM_at"	"214454_PM_at"	"NM_014244"	"ADAM metallopeptidase with thrombospondin type 1 motif, 2"	"ADAMTS2"
"1553409_PM_at"	"1553409_PM_at"	"NM_025003"	"ADAM metallopeptidase with thrombospondin type 1 motif, 20"	"ADAMTS20"
"214913_PM_at"	"214913_PM_at"	"AB002364"	"ADAM metallopeptidase with thrombospondin type 1 motif, 3"	"ADAMTS3"
"1555380_PM_at"	"1555380_PM_at"	"BC030812"	"ADAM metallopeptidase with thrombospondin type 1 motif, 4"	"ADAMTS4"
"1558636_PM_s_at"	"1558636_PM_s_at"	"BI254089"	"ADAM metallopeptidase with thrombospondin type 1 motif, 5"	"ADAMTS5"
"1570351_PM_at"	"1570351_PM_at"	"BC020916"	"ADAM metallopeptidase with thrombospondin type 1 motif, 6"	"ADAMTS6"
"220705_PM_s_at"	"220705_PM_s_at"	"NM_014272"	"ADAM metallopeptidase with thrombospondin type 1 motif, 7"	"ADAMTS7"
"220676_PM_at"	"220676_PM_at"	"NM_007037"	"ADAM metallopeptidase with thrombospondin type 1 motif, 8"	"ADAMTS8"
"1554697_PM_at"	"1554697_PM_at"	"AF488803"	"ADAM metallopeptidase with thrombospondin type 1 motif, 9"	"ADAMTS9"
"1552457_PM_a_at"	"1552457_PM_a_at"	"NM_052866"	"ADAMTS-like 1"	"ADAMTSL1"
"206629_PM_at"	"206629_PM_at"	"NM_014694"	"ADAMTS-like 2"	"ADAMTSL2"
"1559748_PM_at"	"1559748_PM_at"	"AF237652"	"ADAMTS-like 3"	"ADAMTSL3"
"220578_PM_at"	"220578_PM_at"	"NM_025008"	"ADAMTS-like 4"	"ADAMTSL4"
"242200_PM_at"	"242200_PM_at"	"AA505848"	"ADAMTS-like 5"	"ADAMTSL5"
"219150_PM_s_at"	"219150_PM_s_at"	"NM_006869"	"ArfGAP with dual PH domains 1"	"ADAP1"
"219358_PM_s_at"	"219358_PM_s_at"	"NM_018404"	"ArfGAP with dual PH domains 2"	"ADAP2"
"201786_PM_s_at"	"201786_PM_s_at"	"NM_001111"	"adenosine deaminase, RNA-specific"	"ADAR"
"203865_PM_s_at"	"203865_PM_s_at"	"NM_015833"	"adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)"	"ADARB1"
"220648_PM_at"	"220648_PM_at"	"NM_018702"	"adenosine deaminase, RNA-specific, B2 (RED2 homolog rat)"	"ADARB2"
"219384_PM_s_at"	"219384_PM_s_at"	"NM_012091"	"adenosine deaminase, tRNA-specific 1"	"ADAT1"
"227213_PM_at"	"227213_PM_at"	"AA706895"	"adenosine deaminase, tRNA-specific 2, TAD2 homolog (S. cerevisiae)"	"ADAT2"
"1553967_PM_at"	"1553967_PM_at"	"BI524128"	"adenosine deaminase, tRNA-specific 3, TAD3 homolog (S. cerevisiae)"	"ADAT3"
"1554393_PM_a_at"	"1554393_PM_a_at"	"AY050636"	"arginine decarboxylase"	"ADC"
"227482_PM_at"	"227482_PM_at"	"AI097656"	"aarF domain containing kinase 1"	"ADCK1"
"221893_PM_s_at"	"221893_PM_s_at"	"N32831"	"aarF domain containing kinase 2"	"ADCK2"
"220434_PM_at"	"220434_PM_at"	"NM_024876"	"aarF domain containing kinase 4"	"ADCK4"
"228524_PM_at"	"228524_PM_at"	"BE856488"	"aarF domain containing kinase 5"	"ADCK5"
"213245_PM_at"	"213245_PM_at"	"AL120173"	"adenylate cyclase 1 (brain)"	"ADCY1"
"214547_PM_at"	"214547_PM_at"	"NM_018417"	"adenylate cyclase 10 (soluble)"	"ADCY10"
"213217_PM_at"	"213217_PM_at"	"AU149572"	"adenylate cyclase 2 (brain)"	"ADCY2"
"209320_PM_at"	"209320_PM_at"	"AF033861"	"adenylate cyclase 3"	"ADCY3"
"230800_PM_at"	"230800_PM_at"	"AV699353"	"adenylate cyclase 4"	"ADCY4"
"228182_PM_at"	"228182_PM_at"	"AI935802"	"adenylate cyclase 5"	"ADCY5"
"209195_PM_s_at"	"209195_PM_s_at"	"AF250226"	"adenylate cyclase 6"	"ADCY6"
"1554827_PM_a_at"	"1554827_PM_a_at"	"BC039891"	"adenylate cyclase 7"	"ADCY7"
"206811_PM_at"	"206811_PM_at"	"NM_001115"	"adenylate cyclase 8 (brain)"	"ADCY8"
"204497_PM_at"	"204497_PM_at"	"AB011092"	"adenylate cyclase 9"	"ADCY9"
"206281_PM_at"	"206281_PM_at"	"NM_001117"	"adenylate cyclase activating polypeptide 1 (pituitary)"	"ADCYAP1"
"207151_PM_at"	"207151_PM_at"	"NM_001118"	"adenylate cyclase activating polypeptide 1 (pituitary) receptor type I"	"ADCYAP1R1"
"208030_PM_s_at"	"208030_PM_s_at"	"NM_001119"	"adducin 1 (alpha)"	"ADD1"
"205268_PM_s_at"	"205268_PM_s_at"	"NM_017488"	"adducin 2 (beta)"	"ADD2"
"201034_PM_at"	"201034_PM_at"	"BE545756"	"adducin 3 (gamma)"	"ADD3"
"207820_PM_at"	"207820_PM_at"	"NM_000667"	"alcohol dehydrogenase 1A (class I), alpha polypeptide"	"ADH1A"
"209612_PM_s_at"	"209612_PM_s_at"	"M24317"	"alcohol dehydrogenase 1B (class I), beta polypeptide"	"ADH1B"
"206262_PM_at"	"206262_PM_at"	"NM_000669"	"alcohol dehydrogenase 1C (class I), gamma polypeptide"	"ADH1C"
"223781_PM_x_at"	"223781_PM_x_at"	"M15943"	"alcohol dehydrogenase 4 (class II), pi polypeptide"	"ADH4"
"208847_PM_s_at"	"208847_PM_s_at"	"M29872"	"alcohol dehydrogenase 5 (class III), chi polypeptide"	"ADH5"
"207544_PM_s_at"	"207544_PM_s_at"	"NM_000672"	"alcohol dehydrogenase 6 (class V)"	"ADH6"
"210505_PM_at"	"210505_PM_at"	"U07821"	"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"	"ADH7"
"227113_PM_at"	"227113_PM_at"	"BE048349"	"alcohol dehydrogenase, iron containing, 1"	"ADHFE1"
"217761_PM_at"	"217761_PM_at"	"NM_018269"	"acireductone dioxygenase 1"	"ADI1"
"1554128_PM_at"	"1554128_PM_at"	"BC029594"	"adipogenin"	"ADIG"
"207175_PM_at"	"207175_PM_at"	"NM_004797"	"adiponectin, C1Q and collagen domain containing"	"ADIPOQ"
"217748_PM_at"	"217748_PM_at"	"NM_015999"	"adiponectin receptor 1"	"ADIPOR1"
"201346_PM_at"	"201346_PM_at"	"NM_024551"	"adiponectin receptor 2"	"ADIPOR2"
"204119_PM_s_at"	"204119_PM_s_at"	"U90339"	"adenosine kinase"	"ADK"
"202912_PM_at"	"202912_PM_at"	"NM_001124"	"adrenomedullin"	"ADM"
"220538_PM_at"	"220538_PM_at"	"NM_024866"	"adrenomedullin 2"	"ADM2"
"201773_PM_at"	"201773_PM_at"	"NM_015339"	"activity-dependent neuroprotector homeobox"	"ADNP"
"203321_PM_s_at"	"203321_PM_s_at"	"AK022688"	"ADNP homeobox 2"	"ADNP2"
"212500_PM_at"	"212500_PM_at"	"AL049319"	"2-aminoethanethiol (cysteamine) dioxygenase"	"ADO"
"205481_PM_at"	"205481_PM_at"	"NM_000674"	"adenosine A1 receptor"	"ADORA1"
"205013_PM_s_at"	"205013_PM_s_at"	"NM_000675"	"adenosine A2a receptor /// cytospin A"	"ADORA2A /// CYTSA"
"205891_PM_at"	"205891_PM_at"	"NM_000676"	"adenosine A2b receptor"	"ADORA2B"
"206171_PM_at"	"206171_PM_at"	"NM_000677"	"adenosine A3 receptor"	"ADORA3"
"220980_PM_s_at"	"220980_PM_s_at"	"NM_031284"	"ADP-dependent glucokinase"	"ADPGK"
"207863_PM_at"	"207863_PM_at"	"NM_001125"	"ADP-ribosylarginine hydrolase"	"ADPRH"
"1553163_PM_at"	"1553163_PM_at"	"NM_138430"	"ADP-ribosylhydrolase like 1"	"ADPRHL1"
"223097_PM_at"	"223097_PM_at"	"AF212236"	"ADP-ribosylhydrolase like 2"	"ADPRHL2"
"211489_PM_at"	"211489_PM_at"	"D32201"	"adrenergic, alpha-1A-, receptor"	"ADRA1A"
"207589_PM_at"	"207589_PM_at"	"NM_000679"	"adrenergic, alpha-1B-, receptor"	"ADRA1B"
"210960_PM_at"	"210960_PM_at"	"M76446"	"adrenergic, alpha-1D-, receptor"	"ADRA1D"
"209869_PM_at"	"209869_PM_at"	"AF284095"	"adrenergic, alpha-2A-, receptor"	"ADRA2A"
"208544_PM_at"	"208544_PM_at"	"NM_000682"	"adrenergic, alpha-2B-, receptor"	"ADRA2B"
"206128_PM_at"	"206128_PM_at"	"AI264306"	"adrenergic, alpha-2C-, receptor"	"ADRA2C"
"208214_PM_at"	"208214_PM_at"	"NM_000684"	"adrenergic, beta-1-, receptor"	"ADRB1"
"206170_PM_at"	"206170_PM_at"	"NM_000024"	"adrenergic, beta-2-, receptor, surface"	"ADRB2"
"206812_PM_at"	"206812_PM_at"	"NM_000025"	"adrenergic, beta-3-, receptor"	"ADRB3"
"201401_PM_s_at"	"201401_PM_s_at"	"M80776"	"adrenergic, beta, receptor kinase 1"	"ADRBK1"
"204183_PM_s_at"	"204183_PM_s_at"	"AI478542"	"adrenergic, beta, receptor kinase 2"	"ADRBK2"
"201281_PM_at"	"201281_PM_at"	"NM_007002"	"adhesion regulating molecule 1"	"ADRM1"
"202144_PM_s_at"	"202144_PM_s_at"	"NM_000026"	"adenylosuccinate lyase"	"ADSL"
"221761_PM_at"	"221761_PM_at"	"AA628948"	"adenylosuccinate synthase"	"ADSS"
"226325_PM_at"	"226325_PM_at"	"BF593252"	"adenylosuccinate synthase like 1"	"ADSSL1"
"201792_PM_at"	"201792_PM_at"	"NM_001129"	"AE binding protein 1"	"AEBP1"
"225889_PM_at"	"225889_PM_at"	"BF475280"	"AE binding protein 2"	"AEBP2"
"219361_PM_s_at"	"219361_PM_s_at"	"NM_022767"	"apoptosis enhancing nuclease"	"AEN"
"217729_PM_s_at"	"217729_PM_s_at"	"NM_001130"	"amino-terminal enhancer of split"	"AES"
"203563_PM_at"	"203563_PM_at"	"NM_021638"	"actin filament associated protein 1"	"AFAP1"
"1555542_PM_at"	"1555542_PM_at"	"BC040723"	"actin filament associated protein 1-like 1"	"AFAP1L1"
"226829_PM_at"	"226829_PM_at"	"AW138743"	"actin filament associated protein 1-like 2"	"AFAP1L2"
"201924_PM_at"	"201924_PM_at"	"NM_005935"	"AF4/FMR2 family, member 1"	"AFF1"
"206105_PM_at"	"206105_PM_at"	"NM_002025"	"AF4/FMR2 family, member 2"	"AFF2"
"205734_PM_s_at"	"205734_PM_s_at"	"AI990465"	"AF4/FMR2 family, member 3"	"AFF3"
"1565034_PM_s_at"	"1565034_PM_s_at"	"AF422798"	"AF4/FMR2 family, member 3 /// myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)"	"AFF3 /// MLL"
"1555435_PM_at"	"1555435_PM_at"	"BC025700"	"AF4/FMR2 family, member 4"	"AFF4"
"1552287_PM_s_at"	"1552287_PM_s_at"	"NM_001132"	"AFG3 ATPase family gene 3-like 1 (S. cerevisiae)"	"AFG3L1"
"1557820_PM_at"	"1557820_PM_at"	"AA905788"	"AFG3 ATPase family gene 3-like 2 (yeast)"	"AFG3L2"
"206840_PM_at"	"206840_PM_at"	"NM_001133"	"afamin"	"AFM"
"240318_PM_at"	"240318_PM_at"	"AA810483"	"arylformamidase"	"AFMID"
"212221_PM_x_at"	"212221_PM_x_at"	"AV703259"	"arylformamidase /// iduronate 2-sulfatase"	"AFMID /// IDS"
"204694_PM_at"	"204694_PM_at"	"NM_001134"	"alpha-fetoprotein"	"AFP"
"217939_PM_s_at"	"217939_PM_s_at"	"NM_017657"	"aftiphilin"	"AFTPH"
"227099_PM_s_at"	"227099_PM_s_at"	"AW276078"	"protein Ag2 homolog"	"AG2"
"204332_PM_s_at"	"204332_PM_s_at"	"M64073"	"aspartylglucosaminidase"	"AGA"
"204066_PM_s_at"	"204066_PM_s_at"	"NM_014914"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"	"AGAP1"
"242393_PM_x_at"	"242393_PM_x_at"	"AV708982"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 10 /// ArfGAP with GTPase domain, ankyrin repeat and PH domain 4 /// ArfGAP with GTPase domain, ankyrin repeat and PH domain 9 /// BMS1 pseudogene 1 /// BMS1 pseudogene 5 /// PRO1102 /// hypothetical LOC399753"	"AGAP10 /// AGAP4 /// AGAP9 /// BMS1P1 /// BMS1P5 /// LOC100133130 /// LOC399753"
"238553_PM_at"	"238553_PM_at"	"BG426581"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 10 /// ArfGAP with GTPase domain, ankyrin repeat and PH domain 4 /// ArfGAP with GTPase domain, ankyrin repeat and PH domain 9 /// BMS1 pseudogene 1 /// BMS1 pseudogene 5 /// hypothetical LOC399753"	"AGAP10 /// AGAP4 /// AGAP9 /// BMS1P1 /// BMS1P5 /// LOC399753"
"1557380_PM_at"	"1557380_PM_at"	"AI659151"	"ankyrin repeat and GTPase domain Arf GTPase activating protein 11"	"AGAP11"
"206152_PM_at"	"206152_PM_at"	"NM_014770"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"	"AGAP2"
"225789_PM_at"	"225789_PM_at"	"BE876194"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"	"AGAP3"
"1565620_PM_at"	"1565620_PM_at"	"BG621044"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 4"	"AGAP4"
"221850_PM_x_at"	"221850_PM_x_at"	"AI826075"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 4 /// ArfGAP with GTPase domain, ankyrin repeat and PH domain 6 /// ArfGAP with GTPase domain, ankyrin repeat and PH domain 7 /// ArfGAP with GTPase domain, ankyrin repeat and PH domain 8"	"AGAP4 /// AGAP6 /// AGAP7 /// AGAP8"
"221971_PM_x_at"	"221971_PM_x_at"	"BE672818"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5"	"AGAP5"
"1553447_PM_at"	"1553447_PM_at"	"NM_152336"	"ATP/GTP binding protein-like 1"	"AGBL1"
"220390_PM_at"	"220390_PM_at"	"NM_024783"	"ATP/GTP binding protein-like 2"	"AGBL2"
"1554820_PM_at"	"1554820_PM_at"	"BC030651"	"ATP/GTP binding protein-like 3"	"AGBL3"
"1553412_PM_at"	"1553412_PM_at"	"NM_032785"	"ATP/GTP binding protein-like 4"	"AGBL4"
"218480_PM_at"	"218480_PM_at"	"NM_021831"	"ATP/GTP binding protein-like 5"	"AGBL5"
"210081_PM_at"	"210081_PM_at"	"AB036432"	"advanced glycosylation end product-specific receptor"	"AGER"
"213926_PM_s_at"	"213926_PM_s_at"	"AI742626"	"ArfGAP with FG repeats 1"	"AGFG1"
"1554618_PM_at"	"1554618_PM_at"	"BC009393"	"ArfGAP with FG repeats 2"	"AGFG2"
"208042_PM_at"	"208042_PM_at"	"NM_013303"	"angiogenic factor with G patch and FHA domains 1"	"AGGF1"
"1555610_PM_at"	"1555610_PM_at"	"BC009775"	"acylglycerol kinase"	"AGK"
"203566_PM_s_at"	"203566_PM_s_at"	"NM_000645"	"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"	"AGL"
"219792_PM_at"	"219792_PM_at"	"NM_024758"	"agmatine ureohydrolase (agmatinase)"	"AGMAT"
"215535_PM_s_at"	"215535_PM_s_at"	"AF007145"	"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)"	"AGPAT1"
"210678_PM_s_at"	"210678_PM_s_at"	"U56418"	"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)"	"AGPAT2"
"219723_PM_x_at"	"219723_PM_x_at"	"NM_020132"	"1-acylglycerol-3-phosphate O-acyltransferase 3"	"AGPAT3"
"219693_PM_at"	"219693_PM_at"	"NM_020133"	"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)"	"AGPAT4"
"218096_PM_at"	"218096_PM_at"	"NM_018361"	"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)"	"AGPAT5"
"224776_PM_at"	"224776_PM_at"	"BF513102"	"1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)"	"AGPAT6"
"224480_PM_s_at"	"224480_PM_s_at"	"BC006236"	"1-acylglycerol-3-phosphate O-acyltransferase 9"	"AGPAT9"
"236150_PM_at"	"236150_PM_at"	"AW973177"	"aminoglycoside phosphotransferase domain containing 1"	"AGPHD1"
"205401_PM_at"	"205401_PM_at"	"NM_003659"	"alkylglycerone phosphate synthase"	"AGPS"
"209173_PM_at"	"209173_PM_at"	"AF088867"	"anterior gradient homolog 2 (Xenopus laevis)"	"AGR2"
"228241_PM_at"	"228241_PM_at"	"AI827789"	"anterior gradient homolog 3 (Xenopus laevis)"	"AGR3"
"212283_PM_at"	"212283_PM_at"	"AI424797"	"agrin"	"AGRN"
"207193_PM_at"	"207193_PM_at"	"NM_001138"	"agouti related protein homolog (mouse)"	"AGRP"
"202834_PM_at"	"202834_PM_at"	"NM_000029"	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"	"AGT"
"204499_PM_at"	"204499_PM_at"	"AB028958"	"ATP/GTP binding protein 1"	"AGTPBP1"
"205357_PM_s_at"	"205357_PM_s_at"	"NM_000685"	"angiotensin II receptor, type 1"	"AGTR1"
"207293_PM_s_at"	"207293_PM_s_at"	"U16957"	"angiotensin II receptor, type 2"	"AGTR2"
"1555736_PM_a_at"	"1555736_PM_a_at"	"AF165187"	"angiotensin II receptor-associated protein"	"AGTRAP"
"206957_PM_at"	"206957_PM_at"	"NM_016236"	"alanine-glyoxylate aminotransferase"	"AGXT"
"229229_PM_at"	"229229_PM_at"	"AJ292204"	"alanine--glyoxylate aminotransferase 2"	"AGXT2"
"221008_PM_s_at"	"221008_PM_s_at"	"NM_031279"	"alanine-glyoxylate aminotransferase 2-like 1"	"AGXT2L1"
"226519_PM_s_at"	"226519_PM_s_at"	"AL561859"	"alanine-glyoxylate aminotransferase 2-like 2"	"AGXT2L2"
"1560224_PM_at"	"1560224_PM_at"	"BF327463"	"AT hook containing transcription factor 1"	"AHCTF1"
"200903_PM_s_at"	"200903_PM_s_at"	"NM_000687"	"adenosylhomocysteinase"	"AHCY"
"200848_PM_at"	"200848_PM_at"	"AA479488"	"adenosylhomocysteinase-like 1"	"AHCYL1"
"212814_PM_at"	"212814_PM_at"	"AB020635"	"adenosylhomocysteinase-like 2"	"AHCYL2"
"205002_PM_at"	"205002_PM_at"	"NM_015699"	"AT hook, DNA binding motif, containing 1"	"AHDC1"
"220841_PM_s_at"	"220841_PM_s_at"	"NM_017651"	"Abelson helper integration site 1"	"AHI1"
"1563560_PM_at"	"1563560_PM_at"	"M80899"	"AHNAK nucleoprotein"	"AHNAK"
"1558378_PM_a_at"	"1558378_PM_a_at"	"BC004283"	"AHNAK nucleoprotein 2"	"AHNAK2"
"202820_PM_at"	"202820_PM_at"	"NM_001621"	"aryl hydrocarbon receptor"	"AHR"
"229354_PM_at"	"229354_PM_at"	"AB033060"	"aryl-hydrocarbon receptor repressor"	"AHRR"
"201491_PM_at"	"201491_PM_at"	"NM_012111"	"AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)"	"AHSA1"
"226334_PM_s_at"	"226334_PM_s_at"	"AW117717"	"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"	"AHSA2"
"204551_PM_s_at"	"204551_PM_s_at"	"NM_001622"	"alpha-2-HS-glycoprotein"	"AHSG"
"210929_PM_s_at"	"210929_PM_s_at"	"AF130057"	"alpha-2-HS-glycoprotein /// PRO1454"	"AHSG /// LOC100131613"
"219672_PM_at"	"219672_PM_at"	"NM_016633"	"alpha hemoglobin stabilizing protein"	"AHSP"
"219841_PM_at"	"219841_PM_at"	"NM_020661"	"activation-induced cytidine deaminase"	"AICDA"
"220199_PM_s_at"	"220199_PM_s_at"	"NM_022831"	"axin interactor, dorsalization associated"	"AIDA"
"207823_PM_s_at"	"207823_PM_s_at"	"NM_004847"	"allograft inflammatory factor 1"	"AIF1"
"223074_PM_s_at"	"223074_PM_s_at"	"AA205873"	"allograft inflammatory factor 1-like"	"AIF1L"
"205512_PM_s_at"	"205512_PM_s_at"	"NM_004208"	"apoptosis-inducing factor, mitochondrion-associated, 1"	"AIFM1"
"224461_PM_s_at"	"224461_PM_s_at"	"BC006121"	"apoptosis-inducing factor, mitochondrion-associated, 2"	"AIFM2"
"244084_PM_at"	"244084_PM_at"	"AA468769"	"apoptosis-inducing factor, mitochondrion-associated, 3"	"AIFM3"
"223136_PM_at"	"223136_PM_at"	"AF151861"	"androgen-induced 1"	"AIG1"
"212543_PM_at"	"212543_PM_at"	"U83115"	"absent in melanoma 1"	"AIM1"
"220289_PM_s_at"	"220289_PM_s_at"	"NM_017977"	"absent in melanoma 1-like"	"AIM1L"
"206513_PM_at"	"206513_PM_at"	"NM_004833"	"absent in melanoma 2"	"AIM2"
"202541_PM_at"	"202541_PM_at"	"BF589679"	"aminoacyl tRNA synthetase complex-interacting multifunctional protein 1"	"AIMP1"
"202138_PM_x_at"	"202138_PM_x_at"	"NM_006303"	"aminoacyl tRNA synthetase complex-interacting multifunctional protein 2"	"AIMP2"
"201781_PM_s_at"	"201781_PM_s_at"	"AL558532"	"aryl hydrocarbon receptor interacting protein"	"AIP"
"219977_PM_at"	"219977_PM_at"	"NM_014336"	"aryl hydrocarbon receptor interacting protein-like 1"	"AIPL1"
"208090_PM_s_at"	"208090_PM_s_at"	"NM_000658"	"autoimmune regulator"	"AIRE"
"206460_PM_at"	"206460_PM_at"	"NM_018836"	"adherens junctions associated protein 1"	"AJAP1"
"202587_PM_s_at"	"202587_PM_s_at"	"BC001116"	"adenylate kinase 1"	"AK1"
"205996_PM_s_at"	"205996_PM_s_at"	"NM_013411"	"adenylate kinase 2"	"AK2"
"224151_PM_s_at"	"224151_PM_s_at"	"AF183419"	"adenylate kinase 3"	"AK3"
"204347_PM_at"	"204347_PM_at"	"AI653169"	"adenylate kinase 3-like 1"	"AK3L1"
"219308_PM_s_at"	"219308_PM_s_at"	"NM_012093"	"adenylate kinase 5"	"AK5"
"1553734_PM_at"	"1553734_PM_at"	"NM_152327"	"adenylate kinase 7"	"AK7"
"201674_PM_s_at"	"201674_PM_s_at"	"BC000729"	"A kinase (PRKA) anchor protein 1"	"AKAP1"
"205045_PM_at"	"205045_PM_at"	"NM_007202"	"A kinase (PRKA) anchor protein 10"	"AKAP10"
"203156_PM_at"	"203156_PM_at"	"NM_016248"	"A kinase (PRKA) anchor protein 11"	"AKAP11"
"1555395_PM_at"	"1555395_PM_at"	"BC046095"	"A kinase (PRKA) anchor protein 12"	"AKAP12"
"208325_PM_s_at"	"208325_PM_s_at"	"NM_006738"	"A kinase (PRKA) anchor protein 13"	"AKAP13"
"237281_PM_at"	"237281_PM_at"	"AW137676"	"A kinase (PRKA) anchor protein 14"	"AKAP14"
"1553502_PM_a_at"	"1553502_PM_a_at"	"NM_053016"	"A kinase (PRKA) anchor protein 2 /// paralemmin 2 /// PALM2-AKAP2 readthrough"	"AKAP2 /// PALM2 /// PALM2-AKAP2"
